946 10000
FLIP 2 8
OR 2 1
XOR 2 1
XOR 2 1
AND 1 2
AND 1 2
SET 2 10
FLIP 1 933
AND 1 2
AND 2 1
SET 2 905
FLIP 2 411
XOR 2 1
XOR 1 2
FLIP 2 388
XOR 1 2
SET 1 678
FLIP 2 805
AND 1 2
AND 2 1
OR 2 1
AND 1 2
OR 1 2
FLIP 2 755
OR 1 2
XOR 2 1
OR 2 1
SET 2 514
AND 1 2
SET 1 117
XOR 1 2
OR 2 1
XOR 2 1
AND 2 1
FLIP 1 429
SET 2 902
FLIP 2 482
FLIP 2 72
XOR 1 2
AND 1 2
XOR 1 2
OR 1 2
FLIP 1 192
OR 1 2
OR 1 2
XOR 2 1
AND 1 2
AND 2 1
FLIP 2 539
OR 2 1
FLIP 1 596
FLIP 2 715
FLIP 2 580
SET 2 550
AND 2 1
SET 2 386
OR 2 1
FLIP 1 202
XOR 2 1
XOR 1 2
SET 1 460
OR 2 1
OR 2 1
OR 2 1
SET 1 242
OR 2 1
SET 2 388
AND 2 1
SET 2 902
XOR 2 1
SET 2 78
OR 2 1
SET 2 81
OR 2 1
OR 1 2
SET 1 255
SET 2 51
FLIP 1 124
OR 1 2
FLIP 2 160
SET 2 392
OR 2 1
XOR 1 2
AND 1 2
AND 2 1
OR 2 1
AND 1 2
FLIP 2 372
XOR 1 2
OR 1 2
FLIP 2 285
XOR 2 1
SET 1 694
SET 1 635
OR 2 1
AND 1 2
SET 1 331
AND 1 2
XOR 1 2
SET 2 879
SET 2 554
XOR 2 1
AND 2 1
FLIP 2 139
SET 2 267
OR 2 1
FLIP 1 607
AND 1 2
XOR 2 1
AND 1 2
AND 2 1
XOR 2 1
FLIP 1 667
XOR 1 2
XOR 2 1
XOR 1 2
XOR 1 2
SET 2 39
FLIP 2 582
FLIP 1 118
XOR 1 2
FLIP 2 347
SET 2 595
XOR 2 1
AND 2 1
FLIP 2 370
FLIP 2 171
OR 1 2
XOR 1 2
SET 2 426
AND 2 1
XOR 1 2
OR 1 2
SET 1 816
XOR 1 2
FLIP 1 795
SET 1 270
OR 2 1
SET 1 499
XOR 2 1
XOR 2 1
FLIP 2 534
XOR 2 1
OR 1 2
AND 1 2
XOR 2 1
OR 1 2
OR 2 1
FLIP 2 600
FLIP 1 21
AND 1 2
OR 1 2
OR 1 2
SET 2 255
SET 2 27
SET 2 533
AND 2 1
FLIP 2 934
SET 1 38
XOR 1 2
XOR 1 2
XOR 2 1
FLIP 2 393
FLIP 1 420
AND 2 1
XOR 1 2
SET 2 73
AND 1 2
FLIP 2 773
FLIP 2 335
XOR 1 2
FLIP 1 291
FLIP 2 20
SET 2 750
XOR 2 1
XOR 1 2
AND 2 1
OR 2 1
FLIP 2 63
FLIP 2 578
FLIP 2 680
OR 2 1
OR 1 2
SET 1 891
XOR 1 2
AND 2 1
OR 2 1
AND 1 2
FLIP 1 822
SET 1 281
OR 1 2
FLIP 1 502
OR 2 1
SET 1 872
SET 1 155
SET 2 776
SET 2 626
SET 1 605
AND 1 2
OR 1 2
AND 2 1
OR 1 2
FLIP 1 223
XOR 2 1
SET 2 639
AND 1 2
XOR 1 2
OR 1 2
AND 1 2
AND 2 1
OR 2 1
SET 1 587
FLIP 1 919
AND 1 2
SET 2 121
SET 1 794
SET 1 199
FLIP 1 365
SET 1 174
SET 2 928
FLIP 1 85
SET 2 555
AND 2 1
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
OR 2 1
AND 1 2
XOR 1 2
OR 1 2
AND 1 2
XOR 1 2
AND 2 1
OR 1 2
AND 2 1
XOR 1 2
FLIP 1 634
SET 1 781
SET 1 721
OR 2 1
OR 2 1
AND 2 1
SET 2 882
AND 2 1
SET 2 554
AND 2 1
XOR 2 1
SET 2 176
FLIP 2 478
XOR 1 2
XOR 2 1
SET 1 798
OR 2 1
FLIP 1 218
OR 1 2
FLIP 2 441
OR 1 2
XOR 2 1
FLIP 1 279
OR 2 1
FLIP 1 617
XOR 1 2
SET 1 924
OR 1 2
FLIP 1 354
AND 2 1
SET 2 242
XOR 1 2
OR 1 2
SET 1 539
XOR 2 1
FLIP 1 548
XOR 2 1
XOR 2 1
SET 1 15
AND 2 1
OR 2 1
FLIP 1 164
OR 2 1
OR 2 1
SET 1 294
OR 1 2
FLIP 2 281
OR 1 2
FLIP 2 176
FLIP 2 850
FLIP 2 772
FLIP 2 181
OR 2 1
XOR 2 1
FLIP 1 44
SET 1 610
AND 1 2
AND 2 1
AND 2 1
OR 1 2
SET 1 576
AND 1 2
SET 2 470
FLIP 2 898
AND 1 2
SET 2 451
SET 1 311
OR 2 1
XOR 2 1
XOR 1 2
SET 2 844
AND 2 1
OR 2 1
OR 1 2
SET 2 545
AND 1 2
AND 1 2
XOR 1 2
XOR 2 1
SET 2 683
XOR 2 1
SET 1 485
SET 1 495
XOR 2 1
SET 1 119
OR 2 1
AND 1 2
OR 2 1
OR 1 2
SET 2 351
OR 2 1
SET 2 486
XOR 2 1
AND 1 2
AND 1 2
OR 2 1
SET 1 766
XOR 1 2
XOR 1 2
AND 2 1
AND 2 1
AND 1 2
SET 1 691
FLIP 1 549
FLIP 1 768
SET 1 178
XOR 1 2
SET 1 106
OR 2 1
AND 2 1
FLIP 1 669
FLIP 1 21
FLIP 2 364
OR 2 1
XOR 2 1
XOR 2 1
AND 2 1
FLIP 1 107
AND 1 2
XOR 1 2
AND 2 1
SET 1 151
XOR 1 2
OR 2 1
OR 1 2
AND 2 1
AND 1 2
XOR 1 2
XOR 2 1
XOR 1 2
XOR 1 2
SET 2 206
FLIP 1 132
XOR 2 1
SET 2 501
OR 2 1
AND 2 1
XOR 1 2
SET 2 261
OR 2 1
FLIP 1 497
AND 2 1
AND 1 2
OR 1 2
FLIP 2 599
SET 2 186
XOR 2 1
FLIP 1 249
XOR 2 1
XOR 1 2
SET 1 762
AND 1 2
AND 1 2
XOR 2 1
SET 2 437
FLIP 1 331
SET 2 616
OR 2 1
FLIP 2 445
XOR 1 2
SET 1 892
XOR 1 2
AND 2 1
XOR 1 2
XOR 2 1
XOR 2 1
OR 1 2
SET 1 467
OR 2 1
AND 1 2
FLIP 2 301
AND 1 2
XOR 2 1
FLIP 2 18
AND 1 2
XOR 1 2
AND 1 2
SET 2 698
SET 2 696
SET 1 439
AND 2 1
SET 2 336
OR 1 2
FLIP 2 58
SET 2 60
FLIP 2 150
SET 1 339
SET 2 237
OR 2 1
XOR 2 1
FLIP 1 451
XOR 1 2
AND 2 1
XOR 1 2
OR 1 2
SET 2 246
OR 2 1
OR 2 1
AND 2 1
XOR 1 2
FLIP 2 777
FLIP 2 301
OR 2 1
AND 1 2
XOR 2 1
SET 2 529
SET 2 309
AND 2 1
FLIP 1 610
FLIP 2 450
FLIP 2 875
SET 2 578
AND 1 2
FLIP 1 262
SET 1 915
SET 2 47
AND 1 2
XOR 1 2
AND 2 1
XOR 1 2
AND 1 2
FLIP 1 444
FLIP 1 684
AND 2 1
SET 1 182
FLIP 2 899
OR 2 1
XOR 2 1
XOR 1 2
FLIP 2 743
SET 1 900
FLIP 2 834
OR 1 2
XOR 1 2
FLIP 2 904
XOR 1 2
AND 1 2
SET 1 733
AND 1 2
FLIP 1 506
AND 1 2
SET 1 609
OR 1 2
XOR 1 2
XOR 1 2
SET 1 851
FLIP 2 941
AND 2 1
OR 1 2
OR 1 2
SET 1 280
AND 1 2
OR 2 1
XOR 2 1
OR 2 1
SET 1 940
SET 2 299
SET 1 492
XOR 2 1
FLIP 1 516
XOR 2 1
OR 1 2
OR 1 2
XOR 1 2
FLIP 1 163
AND 2 1
OR 1 2
SET 1 902
XOR 1 2
AND 1 2
XOR 2 1
XOR 1 2
AND 1 2
SET 1 876
AND 2 1
AND 1 2
OR 1 2
XOR 1 2
XOR 2 1
SET 2 673
OR 2 1
OR 2 1
SET 1 571
OR 2 1
FLIP 1 230
FLIP 1 364
AND 1 2
FLIP 2 878
OR 2 1
FLIP 2 74
XOR 1 2
SET 2 36
FLIP 1 849
AND 2 1
OR 2 1
OR 2 1
FLIP 2 711
OR 1 2
FLIP 2 104
AND 1 2
OR 1 2
FLIP 1 597
SET 2 854
OR 2 1
OR 1 2
SET 1 337
OR 1 2
AND 2 1
OR 2 1
AND 1 2
FLIP 2 806
SET 1 765
AND 2 1
SET 2 408
SET 1 74
XOR 2 1
XOR 1 2
FLIP 1 118
FLIP 2 8
AND 2 1
AND 2 1
AND 1 2
FLIP 1 333
AND 2 1
OR 1 2
OR 2 1
FLIP 2 128
AND 1 2
SET 2 787
OR 1 2
OR 1 2
SET 2 582
OR 2 1
OR 1 2
SET 2 763
AND 1 2
XOR 2 1
OR 2 1
AND 2 1
FLIP 1 392
SET 1 754
OR 2 1
OR 2 1
FLIP 1 757
AND 1 2
FLIP 2 694
SET 2 871
AND 1 2
AND 2 1
XOR 2 1
AND 2 1
XOR 2 1
FLIP 2 788
SET 1 194
AND 1 2
OR 1 2
SET 2 547
AND 1 2
XOR 1 2
SET 1 570
OR 2 1
FLIP 1 885
FLIP 1 444
SET 1 33
XOR 1 2
FLIP 2 152
AND 1 2
OR 1 2
XOR 1 2
SET 2 183
OR 1 2
XOR 1 2
AND 1 2
SET 1 277
FLIP 2 922
OR 1 2
OR 2 1
SET 1 259
SET 2 381
XOR 1 2
OR 2 1
AND 1 2
AND 1 2
OR 1 2
XOR 1 2
FLIP 2 183
FLIP 2 820
AND 2 1
FLIP 1 651
OR 1 2
AND 1 2
OR 2 1
OR 1 2
AND 1 2
OR 2 1
AND 2 1
AND 1 2
AND 2 1
FLIP 2 928
SET 1 351
FLIP 2 175
FLIP 1 110
XOR 1 2
AND 1 2
XOR 2 1
XOR 2 1
XOR 1 2
SET 2 101
XOR 2 1
AND 2 1
FLIP 1 500
SET 1 661
SET 1 902
AND 2 1
FLIP 2 838
XOR 1 2
FLIP 1 542
XOR 2 1
AND 2 1
FLIP 1 214
XOR 2 1
XOR 1 2
XOR 2 1
FLIP 2 267
AND 1 2
FLIP 1 309
FLIP 2 48
XOR 2 1
AND 2 1
FLIP 2 749
SET 2 293
SET 2 365
FLIP 1 471
FLIP 2 230
OR 1 2
OR 2 1
OR 1 2
AND 1 2
OR 1 2
OR 2 1
SET 1 694
OR 1 2
SET 1 54
FLIP 1 98
FLIP 1 524
XOR 2 1
XOR 2 1
SET 1 29
AND 1 2
FLIP 2 668
SET 1 784
OR 2 1
XOR 1 2
XOR 2 1
AND 1 2
OR 1 2
XOR 1 2
SET 1 631
AND 1 2
FLIP 1 637
SET 2 422
SET 2 63
AND 1 2
AND 2 1
OR 2 1
SET 2 927
OR 1 2
AND 2 1
OR 2 1
FLIP 1 267
AND 2 1
OR 1 2
SET 1 208
XOR 2 1
FLIP 2 722
AND 1 2
FLIP 2 41
AND 2 1
AND 1 2
AND 1 2
OR 2 1
XOR 1 2
XOR 2 1
AND 2 1
FLIP 1 839
AND 2 1
AND 2 1
SET 2 368
SET 2 363
XOR 2 1
XOR 1 2
AND 2 1
SET 2 857
XOR 2 1
XOR 2 1
SET 1 521
SET 1 290
FLIP 1 404
AND 1 2
FLIP 1 53
XOR 2 1
FLIP 2 406
SET 1 358
XOR 2 1
FLIP 2 369
OR 2 1
FLIP 1 785
FLIP 2 157
FLIP 1 267
AND 1 2
AND 2 1
AND 1 2
AND 2 1
XOR 1 2
OR 2 1
AND 2 1
FLIP 2 124
FLIP 1 825
AND 1 2
OR 1 2
FLIP 1 626
FLIP 2 568
AND 2 1
AND 2 1
AND 2 1
FLIP 2 378
XOR 1 2
OR 2 1
AND 1 2
OR 1 2
AND 1 2
OR 1 2
XOR 2 1
SET 1 556
SET 2 354
AND 1 2
OR 2 1
FLIP 1 486
XOR 2 1
FLIP 2 9
OR 2 1
XOR 1 2
SET 2 538
AND 2 1
AND 2 1
OR 2 1
OR 1 2
FLIP 2 555
SET 2 134
OR 2 1
FLIP 2 267
FLIP 1 563
FLIP 1 286
SET 1 325
AND 2 1
AND 2 1
XOR 1 2
AND 2 1
AND 2 1
OR 1 2
AND 1 2
SET 1 604
FLIP 2 600
AND 2 1
OR 2 1
XOR 2 1
AND 2 1
AND 2 1
SET 2 399
OR 1 2
OR 1 2
FLIP 1 272
AND 1 2
SET 2 406
FLIP 1 767
FLIP 2 274
XOR 1 2
OR 1 2
FLIP 1 260
OR 2 1
OR 1 2
SET 2 160
SET 2 633
SET 1 79
SET 1 829
XOR 2 1
SET 1 5
OR 2 1
SET 1 203
AND 2 1
XOR 2 1
FLIP 1 936
OR 2 1
AND 1 2
OR 2 1
OR 2 1
OR 2 1
FLIP 1 854
OR 1 2
XOR 2 1
FLIP 2 783
SET 2 224
OR 1 2
FLIP 2 26
XOR 2 1
XOR 2 1
XOR 2 1
OR 2 1
OR 2 1
OR 2 1
SET 2 531
SET 1 26
FLIP 1 946
FLIP 2 438
AND 2 1
AND 2 1
AND 1 2
SET 1 51
FLIP 2 381
AND 1 2
SET 2 563
XOR 2 1
AND 1 2
OR 2 1
AND 2 1
OR 1 2
OR 1 2
FLIP 2 33
OR 1 2
AND 1 2
FLIP 1 457
AND 1 2
AND 2 1
AND 1 2
OR 1 2
SET 2 936
SET 1 593
AND 2 1
AND 1 2
XOR 1 2
OR 1 2
XOR 2 1
OR 1 2
AND 2 1
XOR 1 2
SET 1 300
OR 2 1
XOR 1 2
SET 1 189
OR 2 1
SET 1 943
OR 1 2
FLIP 1 725
OR 2 1
OR 2 1
SET 2 795
FLIP 1 366
SET 2 267
OR 2 1
SET 2 864
OR 2 1
AND 2 1
OR 2 1
FLIP 1 602
XOR 2 1
XOR 1 2
AND 2 1
OR 2 1
XOR 1 2
SET 2 538
OR 2 1
XOR 2 1
XOR 2 1
AND 2 1
FLIP 2 855
FLIP 1 625
FLIP 1 205
SET 1 240
AND 1 2
XOR 2 1
AND 1 2
OR 1 2
FLIP 2 624
OR 2 1
OR 2 1
FLIP 1 3
AND 1 2
FLIP 1 675
OR 1 2
OR 2 1
FLIP 1 258
AND 2 1
SET 1 684
AND 2 1
AND 1 2
FLIP 2 361
FLIP 2 672
FLIP 2 515
XOR 2 1
XOR 2 1
AND 2 1
FLIP 2 751
AND 1 2
FLIP 1 702
OR 1 2
SET 1 312
SET 2 104
SET 1 151
FLIP 2 505
AND 1 2
AND 1 2
XOR 1 2
SET 2 651
AND 2 1
AND 2 1
OR 1 2
SET 2 877
OR 2 1
XOR 2 1
XOR 1 2
SET 1 352
AND 2 1
AND 1 2
OR 1 2
XOR 1 2
OR 1 2
AND 2 1
SET 1 485
OR 2 1
OR 2 1
FLIP 2 11
AND 1 2
XOR 1 2
OR 2 1
OR 2 1
OR 2 1
AND 2 1
AND 1 2
FLIP 1 314
SET 1 466
FLIP 1 809
FLIP 1 216
AND 2 1
SET 1 200
OR 1 2
FLIP 1 612
SET 2 856
XOR 1 2
OR 1 2
OR 2 1
AND 2 1
XOR 1 2
XOR 2 1
SET 1 924
FLIP 1 697
AND 1 2
FLIP 2 702
SET 2 354
OR 1 2
OR 1 2
OR 1 2
FLIP 1 175
AND 1 2
FLIP 2 723
XOR 2 1
SET 2 207
OR 2 1
SET 1 899
AND 2 1
SET 1 519
SET 2 605
FLIP 1 539
XOR 2 1
AND 1 2
SET 1 690
FLIP 2 774
OR 1 2
OR 2 1
AND 1 2
AND 1 2
AND 1 2
AND 1 2
FLIP 1 568
XOR 2 1
SET 2 413
AND 1 2
AND 1 2
SET 1 526
AND 2 1
FLIP 2 389
OR 2 1
AND 2 1
FLIP 1 330
OR 1 2
FLIP 1 846
FLIP 1 217
SET 2 172
AND 1 2
SET 2 470
FLIP 1 883
XOR 1 2
AND 1 2
FLIP 1 887
XOR 2 1
AND 1 2
FLIP 1 528
OR 1 2
FLIP 2 738
AND 1 2
OR 2 1
XOR 2 1
SET 2 876
FLIP 1 121
FLIP 1 365
OR 1 2
AND 2 1
XOR 2 1
AND 1 2
XOR 1 2
OR 1 2
FLIP 1 903
SET 2 867
SET 1 635
SET 1 162
AND 2 1
OR 1 2
XOR 2 1
OR 2 1
FLIP 2 59
XOR 1 2
FLIP 1 294
SET 2 478
SET 1 45
AND 1 2
XOR 2 1
XOR 2 1
AND 2 1
AND 2 1
AND 2 1
FLIP 1 445
XOR 1 2
FLIP 2 169
SET 1 749
AND 2 1
XOR 1 2
FLIP 2 145
OR 1 2
FLIP 1 481
AND 1 2
SET 1 192
XOR 1 2
XOR 2 1
OR 1 2
SET 1 639
FLIP 2 364
SET 2 634
AND 2 1
SET 2 199
AND 1 2
OR 1 2
SET 2 44
XOR 1 2
OR 1 2
OR 1 2
AND 2 1
SET 2 675
FLIP 1 738
SET 2 649
OR 1 2
XOR 2 1
SET 2 643
OR 1 2
FLIP 2 588
OR 2 1
OR 2 1
SET 1 453
AND 2 1
AND 2 1
XOR 1 2
FLIP 1 658
XOR 1 2
OR 1 2
AND 1 2
AND 2 1
XOR 1 2
FLIP 2 198
XOR 1 2
AND 2 1
SET 2 693
AND 2 1
FLIP 2 550
XOR 1 2
OR 2 1
OR 2 1
AND 1 2
FLIP 1 144
XOR 1 2
OR 2 1
SET 1 736
FLIP 2 877
OR 1 2
XOR 1 2
AND 1 2
XOR 1 2
FLIP 1 657
AND 2 1
XOR 1 2
AND 1 2
XOR 2 1
OR 2 1
FLIP 2 603
AND 2 1
XOR 1 2
XOR 1 2
OR 1 2
XOR 1 2
AND 2 1
SET 2 190
AND 1 2
XOR 2 1
OR 1 2
FLIP 1 709
FLIP 2 894
AND 1 2
XOR 2 1
FLIP 2 618
XOR 2 1
SET 1 579
SET 1 360
AND 2 1
SET 1 91
FLIP 2 609
SET 1 165
AND 1 2
SET 2 425
FLIP 2 633
FLIP 2 757
AND 1 2
FLIP 1 938
AND 1 2
XOR 2 1
SET 2 698
FLIP 1 626
AND 1 2
AND 1 2
XOR 2 1
SET 2 784
OR 1 2
OR 1 2
AND 1 2
XOR 1 2
FLIP 2 660
AND 1 2
SET 2 329
XOR 2 1
FLIP 2 173
FLIP 2 633
SET 2 485
SET 1 532
AND 2 1
AND 2 1
OR 1 2
SET 2 273
OR 1 2
FLIP 2 193
XOR 2 1
SET 1 608
OR 2 1
OR 1 2
XOR 2 1
FLIP 1 434
AND 1 2
AND 2 1
FLIP 2 325
OR 1 2
XOR 1 2
AND 1 2
XOR 2 1
AND 1 2
OR 2 1
AND 2 1
OR 1 2
SET 1 708
XOR 1 2
OR 2 1
FLIP 2 498
XOR 2 1
XOR 1 2
FLIP 2 842
AND 1 2
OR 1 2
XOR 1 2
OR 1 2
SET 2 941
AND 1 2
SET 2 406
OR 1 2
FLIP 2 7
OR 2 1
SET 1 363
XOR 2 1
SET 1 96
FLIP 2 673
SET 1 848
FLIP 1 793
AND 1 2
XOR 1 2
XOR 1 2
SET 1 159
OR 2 1
FLIP 2 919
SET 1 454
OR 2 1
SET 2 530
OR 2 1
FLIP 1 53
XOR 1 2
XOR 2 1
AND 2 1
AND 1 2
XOR 1 2
OR 1 2
SET 1 885
AND 1 2
XOR 2 1
FLIP 1 931
FLIP 1 318
OR 1 2
OR 2 1
FLIP 1 790
SET 1 849
AND 1 2
OR 2 1
FLIP 2 145
XOR 2 1
FLIP 1 479
XOR 2 1
FLIP 1 933
AND 2 1
SET 2 212
SET 2 161
FLIP 2 702
FLIP 1 746
OR 2 1
SET 1 184
XOR 1 2
FLIP 2 576
OR 2 1
OR 1 2
OR 1 2
SET 2 258
FLIP 2 82
OR 2 1
AND 1 2
SET 2 113
FLIP 1 635
SET 2 322
SET 2 698
XOR 2 1
OR 1 2
SET 2 508
FLIP 2 792
FLIP 2 152
XOR 2 1
AND 1 2
OR 2 1
OR 2 1
FLIP 1 890
OR 1 2
AND 1 2
XOR 2 1
XOR 1 2
XOR 2 1
XOR 1 2
AND 2 1
FLIP 1 671
AND 1 2
OR 2 1
SET 2 534
AND 2 1
XOR 1 2
XOR 2 1
AND 2 1
SET 1 158
SET 1 434
AND 1 2
OR 2 1
XOR 2 1
XOR 1 2
AND 2 1
AND 2 1
AND 1 2
AND 1 2
AND 1 2
XOR 2 1
OR 2 1
OR 2 1
AND 2 1
FLIP 1 331
OR 2 1
AND 1 2
AND 2 1
SET 2 363
SET 2 121
OR 1 2
SET 2 467
OR 2 1
FLIP 2 810
FLIP 1 289
AND 1 2
AND 1 2
XOR 1 2
SET 2 838
AND 2 1
XOR 2 1
FLIP 1 589
XOR 1 2
AND 2 1
AND 1 2
FLIP 2 185
FLIP 1 787
FLIP 1 768
OR 2 1
AND 1 2
AND 2 1
AND 2 1
XOR 2 1
OR 2 1
AND 2 1
XOR 1 2
OR 1 2
AND 2 1
OR 2 1
SET 2 764
OR 2 1
SET 2 205
AND 1 2
SET 2 351
FLIP 1 570
FLIP 1 5
OR 1 2
OR 2 1
OR 2 1
SET 1 155
SET 1 400
SET 2 636
SET 1 73
AND 2 1
AND 2 1
AND 2 1
SET 2 324
OR 1 2
OR 1 2
AND 1 2
XOR 2 1
FLIP 1 48
FLIP 1 717
XOR 2 1
AND 1 2
XOR 1 2
OR 1 2
SET 1 839
SET 2 357
SET 1 914
FLIP 1 699
FLIP 2 27
AND 2 1
AND 2 1
OR 1 2
OR 1 2
FLIP 1 554
XOR 1 2
AND 1 2
SET 2 562
OR 1 2
SET 1 331
XOR 1 2
AND 1 2
XOR 2 1
AND 2 1
FLIP 1 437
XOR 2 1
XOR 1 2
XOR 1 2
OR 2 1
XOR 2 1
FLIP 1 921
AND 1 2
OR 2 1
XOR 2 1
XOR 1 2
SET 2 464
XOR 1 2
OR 2 1
AND 1 2
OR 2 1
OR 1 2
SET 2 797
SET 2 292
AND 2 1
OR 2 1
AND 2 1
AND 2 1
FLIP 1 488
FLIP 1 877
OR 2 1
OR 2 1
OR 1 2
XOR 2 1
SET 2 244
FLIP 2 156
SET 2 787
AND 2 1
XOR 1 2
XOR 2 1
SET 1 301
SET 1 49
FLIP 1 416
OR 1 2
FLIP 1 237
SET 2 461
XOR 2 1
OR 1 2
FLIP 2 18
SET 2 691
SET 2 192
FLIP 2 834
FLIP 2 26
OR 1 2
SET 1 311
SET 1 675
OR 1 2
OR 2 1
FLIP 1 295
OR 2 1
AND 2 1
XOR 2 1
OR 2 1
FLIP 1 910
OR 2 1
XOR 1 2
XOR 2 1
OR 1 2
SET 2 597
SET 1 602
SET 1 818
XOR 1 2
XOR 2 1
FLIP 1 852
AND 1 2
AND 2 1
FLIP 1 65
SET 2 3
SET 1 613
AND 1 2
XOR 2 1
FLIP 2 247
OR 2 1
SET 1 345
AND 2 1
FLIP 1 289
FLIP 1 831
SET 2 628
OR 1 2
OR 1 2
AND 1 2
XOR 1 2
FLIP 2 769
OR 1 2
OR 1 2
FLIP 1 139
XOR 2 1
XOR 1 2
SET 2 628
AND 2 1
AND 1 2
FLIP 2 797
OR 1 2
XOR 2 1
AND 2 1
OR 2 1
XOR 1 2
XOR 1 2
XOR 1 2
FLIP 1 296
SET 1 540
OR 2 1
AND 2 1
SET 1 325
AND 1 2
AND 1 2
SET 2 369
SET 1 796
SET 2 86
FLIP 1 234
XOR 1 2
AND 2 1
SET 1 316
OR 2 1
SET 1 270
FLIP 2 711
OR 1 2
SET 2 885
OR 1 2
AND 2 1
SET 2 189
FLIP 2 445
FLIP 1 146
AND 1 2
SET 2 779
AND 2 1
FLIP 2 10
SET 1 22
AND 1 2
XOR 1 2
FLIP 2 781
SET 1 214
XOR 1 2
SET 2 456
SET 1 196
XOR 1 2
FLIP 2 115
AND 2 1
FLIP 2 653
FLIP 2 705
AND 1 2
SET 1 806
SET 1 519
SET 1 429
AND 1 2
SET 2 523
OR 2 1
OR 1 2
FLIP 2 465
AND 1 2
FLIP 1 23
SET 1 781
OR 1 2
AND 1 2
FLIP 2 27
OR 2 1
XOR 1 2
XOR 1 2
SET 1 8
XOR 1 2
OR 2 1
XOR 1 2
OR 1 2
OR 1 2
FLIP 1 287
XOR 1 2
AND 1 2
FLIP 1 576
FLIP 2 66
XOR 1 2
AND 2 1
XOR 1 2
OR 2 1
FLIP 1 559
FLIP 1 222
AND 2 1
OR 2 1
AND 1 2
XOR 1 2
OR 1 2
SET 2 344
SET 1 864
XOR 1 2
XOR 1 2
SET 2 313
XOR 2 1
XOR 1 2
FLIP 1 399
XOR 1 2
SET 1 515
FLIP 2 686
SET 1 525
AND 2 1
XOR 1 2
XOR 1 2
XOR 1 2
FLIP 1 488
OR 2 1
OR 2 1
OR 2 1
AND 2 1
AND 1 2
OR 1 2
FLIP 1 113
AND 1 2
SET 2 186
SET 1 635
SET 1 599
SET 1 786
AND 1 2
OR 2 1
OR 1 2
XOR 1 2
SET 2 236
XOR 2 1
FLIP 1 163
XOR 1 2
SET 2 91
FLIP 1 323
FLIP 2 276
SET 2 180
SET 2 930
OR 2 1
OR 2 1
FLIP 2 76
OR 2 1
FLIP 2 15
OR 1 2
SET 2 398
SET 1 875
OR 2 1
AND 1 2
AND 1 2
AND 2 1
FLIP 1 470
XOR 2 1
FLIP 1 501
XOR 1 2
SET 2 857
SET 2 196
AND 2 1
OR 1 2
OR 2 1
AND 2 1
SET 1 722
AND 1 2
OR 1 2
OR 1 2
XOR 1 2
FLIP 1 674
XOR 1 2
XOR 2 1
SET 2 753
XOR 1 2
XOR 1 2
OR 1 2
FLIP 1 460
XOR 1 2
SET 1 416
AND 1 2
OR 1 2
AND 1 2
SET 1 904
FLIP 2 728
OR 2 1
XOR 1 2
AND 1 2
XOR 2 1
XOR 2 1
XOR 1 2
OR 2 1
FLIP 2 630
XOR 1 2
SET 1 299
FLIP 1 221
AND 2 1
OR 2 1
XOR 2 1
AND 2 1
AND 1 2
AND 2 1
AND 2 1
XOR 1 2
AND 2 1
SET 2 841
SET 1 893
SET 1 531
SET 2 888
AND 1 2
OR 1 2
XOR 2 1
AND 2 1
XOR 2 1
SET 1 677
XOR 1 2
OR 2 1
AND 1 2
SET 2 167
FLIP 2 807
SET 2 930
SET 1 498
OR 2 1
OR 2 1
OR 1 2
SET 2 304
SET 1 746
XOR 1 2
AND 1 2
XOR 2 1
SET 2 768
FLIP 2 392
OR 1 2
XOR 1 2
XOR 2 1
OR 2 1
OR 2 1
XOR 1 2
AND 2 1
XOR 2 1
SET 2 783
FLIP 2 866
FLIP 2 14
FLIP 2 800
XOR 1 2
AND 2 1
XOR 1 2
SET 1 392
AND 2 1
XOR 1 2
XOR 2 1
OR 1 2
SET 1 318
AND 1 2
SET 2 512
FLIP 2 615
AND 1 2
OR 1 2
AND 2 1
FLIP 1 69
AND 1 2
AND 2 1
AND 2 1
XOR 2 1
FLIP 2 144
AND 1 2
FLIP 2 212
AND 1 2
AND 1 2
OR 2 1
AND 1 2
OR 1 2
SET 2 670
XOR 1 2
AND 1 2
XOR 2 1
XOR 2 1
OR 1 2
OR 1 2
FLIP 2 756
OR 2 1
SET 1 117
OR 1 2
FLIP 2 365
XOR 1 2
XOR 2 1
OR 2 1
FLIP 1 324
SET 2 479
SET 1 372
FLIP 1 340
OR 2 1
OR 2 1
OR 1 2
XOR 2 1
XOR 2 1
FLIP 2 624
AND 1 2
SET 2 668
OR 2 1
XOR 1 2
SET 2 613
SET 2 641
SET 1 495
XOR 2 1
FLIP 1 184
FLIP 1 929
AND 1 2
SET 1 795
OR 2 1
OR 2 1
XOR 2 1
AND 2 1
FLIP 1 349
AND 1 2
FLIP 1 27
AND 2 1
SET 1 837
AND 2 1
OR 2 1
FLIP 1 125
OR 1 2
FLIP 1 406
XOR 1 2
SET 2 741
FLIP 1 70
OR 1 2
SET 1 136
XOR 1 2
OR 2 1
SET 1 912
OR 1 2
XOR 2 1
OR 2 1
OR 2 1
XOR 2 1
AND 1 2
AND 2 1
AND 2 1
AND 1 2
SET 1 901
SET 2 82
SET 2 443
OR 2 1
AND 1 2
AND 2 1
FLIP 2 687
